CUST_ID,gender,DateOfBirth,State,Contact,Segment,customer_age,claim_id,incident_cause,claim_date,claim_area,police_report,claim_type,claim_amount,total_policy_claims,fraudulent,StateName,Region,SubRegion
21868593,Female,12-Jan-79,VT,789-916-8172,Platinum,40,54004764,Driver error,11/27/2017,Auto,No,Material only,$2980,1,No,Vermont,NorthEast,New England
16868327,Male,14-Feb-68,VT,426-293-4958,Silver,51,3883874,Driver error,01/14/2017,Auto,No,Material only,$1400,1,No,Vermont,NorthEast,New England
20960664,Female,28-Oct-87,VT,276-719-1489,Platinum,31,18499217,Natural causes,08/10/2018,Auto,Yes,Injury only,$19676.5,1,Yes,Vermont,NorthEast,New England
68615086,Male,12-Nov-80,VT,326-937-6952,Platinum,38,66563034,Driver error,07/07/2018,Auto,No,Material and injury,$17670,1,No,Vermont,NorthEast,New England
49078798,Male,07-May-65,VT,168-931-2841,Gold,54,69278867,Natural causes,02/02/2018,Auto,No,Material only,$1350,1,No,Vermont,NorthEast,New England
57896241,Male,11-Sep-96,VT,678-356-9671,Silver,23,11113092,Driver error,04/05/2017,Auto,Unknown,Material and injury,$30420,1,No,Vermont,NorthEast,New England
38047917,Male,18-Aug-85,VT,972-254-1352,Gold,34,47371265,Driver error,12/17/2017,Auto,Yes,Injury only,$22440,1,No,Vermont,NorthEast,New England
47250458,Female,26-Aug-88,VT,157-132-6489,Platinum,31,51476665,Driver error,12/30/2017,Auto,No,Material only,$1630,2,No,Vermont,NorthEast,New England
29130403,Male,27-Dec-98,VT,457-421-1976,Silver,20,40759519,Driver error,10/03/2018,Auto,No,Material only,$2012.5,1,Yes,Vermont,NorthEast,New England
35895151,Male,12-Aug-76,VT,158-152-8735,Platinum,43,49545697,Driver error,03/08/2018,Auto,No,Material only,$2470,3,No,Vermont,NorthEast,New England
25174766,Female,19-Jul-95,VT,298-139-6894,Platinum,24,83706832,Other driver error,02/23/2017,Auto,No,Material only,$1060,1,No,Vermont,NorthEast,New England
38923726,Female,28-Apr-88,VT,182-927-4389,Gold,31,38488079,Other causes,07/27/2018,Auto,No,Injury only,$26850,1,No,Vermont,NorthEast,New England
36780334,Male,11-Jan-76,VT,253-864-1967,Silver,43,13952270,Natural causes,02/22/2018,Auto,No,Material only,$2340,1,No,Vermont,NorthEast,New England
12673582,Female,15-May-82,VT,869-941-8925,Gold,37,77576085,Other causes,10/31/2017,Auto,Unknown,Injury only,$33400,1,No,Vermont,NorthEast,New England
16216085,Female,26-Dec-72,VT,719-273-4738,Platinum,46,19571605,Other causes,01/20/2018,Auto,No,Material only,$2880,1,No,Vermont,NorthEast,New England
8715802,Female,27-Aug-68,VT,573-719-2548,Silver,51,41574371,Natural causes,05/29/2017,Auto,Yes,Material only,$2010,1,No,Vermont,NorthEast,New England
69317965,Male,08-Jun-79,VT,265-749-8245,Platinum,40,8299275,Driver error,06/11/2017,Auto,No,Material and injury,$30340,1,No,Vermont,NorthEast,New England
