,claim_id,customer_id,claim_date,police_report,claim_amount,fraudulent,CUST_ID,DateOfBirth,State,Contact,fraudulent_flag,gender__Female,gender__Male,Segment__Gold,Segment__Platinum,Segment__Silver,incident_cause__Crime,incident_cause__Driver error,incident_cause__Natural causes,incident_cause__Other causes,incident_cause__Other driver error,claim_area__Auto,claim_area__Home,claim_type__Injury only,claim_type__Material and injury,claim_type__Material only,total_policy_claims__1,total_policy_claims__2,total_policy_claims__3,total_policy_claims__4,total_policy_claims__5,total_policy_claims__6,total_policy_claims__7,total_policy_claims__8
0,54004764,21868593,11/27/2017,No,2980.0,No,21868593.0,12-Jan-79,VT,789-916-8172,0.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,33985796,75740424,10/03/2018,Unknown,2980.0,No,75740424.0,13-Jan-70,ME,265-543-1264,0.0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
2,53522022,30308357,02/02/2018,No,3369.5,Yes,30308357.0,11-Mar-84,TN,798-631-4758,1.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
3,13015401,47830476,06/17/2018,No,1680.0,No,47830476.0,01-May-86,MA,413-187-7945,0.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
4,22890252,19269962,01/13/2018,No,2680.0,No,19269962.0,13-May-77,NV,956-871-8691,0.0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
5,24050443,21831191,10/04/2017,No,38306.5,Yes,21831191.0,17-May-77,NH,419-712-8513,1.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
6,12878692,18401412,01/13/2018,No,1730.0,No,18401412.0,02-Mar-99,AR,752-398-2914,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
7,27026412,73486606,04/10/2018,No,1160.0,No,73486606.0,25-Oct-99,AK,256-968-9172,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
8,43908336,32813689,02/15/2018,Unknown,2620.0,No,32813689.0,12-Oct-93,ID,142-324-7481,0.0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
9,63246959,33507197,07/22/2017,No,2748.5,Yes,33507197.0,09-Sep-66,RI,165-519-4583,1.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
10,74165873,99103685,01/13/2018,No,1495.0,Yes,99103685.0,30-Dec-85,KY,764-439-9856,1.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
11,28564401,51583214,12/10/2017,Unknown,16690.0,No,51583214.0,31-Oct-99,NH,743-486-5264,0.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
12,72738047,35875366,04/24/2018,Unknown,,No,35875366.0,16-Sep-90,MD,954-964-1746,0.0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
13,53780662,21240703,09/19/2018,Unknown,1050.0,No,21240703.0,22-Jul-63,MD,473-561-2675,0.0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
14,67257404,18288638,04/24/2018,Yes,32560.0,No,18288638.0,14-Jan-69,MI,314-135-1359,0.0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
15,35489765,63240241,10/03/2018,No,2870.0,No,63240241.0,26-Jul-77,ME,843-379-4796,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
16,12548447,1407979,06/03/2018,Unknown,3208.5,Yes,1407979.0,15-Mar-87,RI,165-217-1648,1.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
17,7809917,63916778,07/22/2017,No,17800.0,No,63916778.0,07-Sep-66,IL,146-157-4572,0.0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
18,29205389,17004138,06/25/2017,No,31380.0,No,17004138.0,13-Aug-65,WA,436-354-4682,0.0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
19,19051665,9667764,12/17/2017,Yes,36190.0,No,9667764.0,10-Oct-79,SC,643-978-8251,0.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
20,32630720,75584003,02/03/2017,No,1480.0,No,75584003.0,22-Apr-67,OK,723-418-3248,0.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
21,17910612,90012444,08/24/2017,No,1010.0,No,90012444.0,08-Aug-74,KS,749-961-7265,0.0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
22,46956597,10665308,07/20/2018,No,2170.0,No,10665308.0,21-Jun-99,CT,324-971-8395,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
23,68848682,35597589,05/29/2017,Yes,,No,35597589.0,17-Feb-80,IN,826-731-3964,0.0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
24,8782253,1924109,09/14/2017,No,1690.0,No,1924109.0,13-Dec-81,UT,431-179-6475,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
25,41262918,12871942,04/25/2017,No,,No,12871942.0,01-Apr-95,IN,591-436-5176,0.0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
26,71088680,32155446,12/24/2017,No,32640.0,No,32155446.0,07-May-85,AZ,847-936-7645,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
27,54764639,35876516,08/10/2018,No,2870.0,No,35876516.0,29-Oct-96,IL,496-426-6748,0.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
28,52278305,13265356,10/17/2017,No,1210.0,No,13265356.0,27-Jul-62,IA,462-587-7532,0.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
29,18210740,80379865,02/09/2018,No,18580.0,No,80379865.0,27-Feb-69,NM,427-513-8479,0.0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
30,22215431,64899302,06/23/2018,No,2630.0,No,64899302.0,17-Jul-94,WI,784-623-7631,0.0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
31,10738822,11278282,08/10/2018,No,2540.0,No,11278282.0,12-Apr-68,RI,148-178-1792,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
32,7800059,90425966,03/01/2018,No,2320.0,No,90425966.0,23-Dec-71,WY,942-259-7583,0.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
33,16773361,70459181,10/10/2017,No,2725.5,Yes,70459181.0,03-Sep-88,NY,493-937-8297,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
34,99427250,91546921,05/21/2018,No,2070.0,No,91546921.0,22-Sep-74,LA,496-784-4836,0.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
35,70399158,26489135,07/01/2017,No,1110.0,No,26489135.0,05-Oct-94,DE,654-456-1493,0.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
36,5481268,76422302,10/31/2017,No,1030.0,No,76422302.0,04-Jun-89,GA,958-971-7983,0.0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
37,13167216,27205554,05/14/2018,No,16910.0,No,27205554.0,12-Apr-76,RI,521-912-8139,0.0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
38,30942972,60225946,02/17/2017,No,1890.0,No,60225946.0,27-Aug-77,OH,715-356-4572,0.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
39,13578273,34790013,12/24/2017,Yes,33040.0,No,34790013.0,17-Jan-79,NY,935-615-6297,0.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
40,22639991,53333796,10/09/2018,Yes,25320.0,No,53333796.0,23-May-90,RI,857-215-9123,0.0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
41,73894966,28307541,11/27/2017,No,2340.0,No,28307541.0,14-Dec-81,WY,763-156-1836,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
42,64959397,85536059,04/25/2017,Yes,33000.0,No,85536059.0,26-Apr-75,SD,145-285-4675,0.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
43,3673097,54642094,04/12/2017,No,19960.0,No,54642094.0,10-Aug-95,NY,963-813-1973,0.0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
44,58245818,47091036,07/27/2018,No,27230.0,No,47091036.0,22-Oct-86,SD,247-436-8713,0.0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
45,83744906,48277275,04/12/2017,No,16150.0,No,48277275.0,27-Mar-96,WV,928-469-4368,0.0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
46,14836805,75252854,02/23/2017,Yes,32630.0,No,75252854.0,30-Aug-95,NH,542-927-5413,0.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
47,28636278,31012778,03/01/2018,No,2530.0,Yes,31012778.0,09-Jun-93,MA,328-683-8359,1.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
48,96749077,84571128,05/15/2017,No,2702.5,Yes,84571128.0,16-Aug-95,ME,946-639-5932,1.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
49,40638641,38286862,10/31/2017,Unknown,41850.0,No,38286862.0,24-Nov-94,NJ,791-831-2514,0.0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
50,94303580,1163515,04/25/2017,Yes,30540.0,No,1163515.0,03-Feb-95,TX,978-352-7634,0.0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
51,39647651,18361978,08/31/2017,Unknown,25576.0,Yes,18361978.0,10-Jul-94,CA,463-645-2453,1.0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
52,97983922,94953428,06/18/2017,No,2210.0,No,94953428.0,07-Dec-77,DE,671-517-9548,0.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
53,42420540,42333031,02/22/2018,Yes,40820.0,No,42333031.0,25-Oct-70,WV,972-361-7416,0.0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
54,25108581,91786228,06/23/2018,No,1150.0,Yes,91786228.0,26-Dec-63,TN,826-243-9763,1.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
55,54192772,61051505,07/01/2017,Unknown,35765.0,Yes,61051505.0,05-Feb-68,OH,649-461-2967,1.0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
56,47783756,8132649,11/20/2017,No,2470.0,No,8132649.0,23-Sep-75,SD,436-953-6352,0.0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
57,14730852,49428676,06/17/2018,No,20999.0,Yes,49428676.0,27-Sep-77,TX,587-946-2153,1.0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
58,37727681,77436411,02/02/2018,Unknown,3358.0,Yes,77436411.0,06-May-64,TN,679-324-1357,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
59,87229793,44319192,04/10/2018,Yes,41430.0,No,44319192.0,07-Nov-68,NC,432-234-3617,0.0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
60,73138939,57510487,12/10/2017,No,1730.0,No,57510487.0,24-Jan-84,UT,512-657-2135,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
61,23504103,62797342,02/09/2018,Unknown,20360.0,No,62797342.0,01-May-89,MA,348-186-6349,0.0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
62,29613369,56923917,05/21/2018,No,2870.0,No,56923917.0,10-Aug-71,IL,451-134-7825,0.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
63,21972507,83088652,01/14/2017,Unknown,2910.0,No,83088652.0,05-Oct-98,MD,968-236-9367,0.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
64,42737631,53087364,07/22/2017,No,33550.0,No,53087364.0,30-Jul-90,AK,462-412-7423,0.0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
65,95352573,9089663,11/20/2017,No,33190.0,No,9089663.0,09-Sep-60,MT,763-973-2741,0.0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
